th,92.535489
he,87.741289
in,54.433847
er,51.910883
an,51.015163
re,41.694599
nd,37.466077
on,33.802063
en,32.967758
at,31.830493
ou,30.637892
ed,30.406590
ha,30.381856
to,27.877259
or,27.434858
it,27.048699
is,26.452510
hi,26.033632
es,26.033602
ng,25.106109
